/* DATA DESCRIPTION:
Citation:	Döring, Julian; Neumann, S I; Sloterdijk, Hans; Ekau, Werner (2018): Age at length data for larval African halfbeak Hyporhamphus picarti (Hemiramphidae) in the Sine Saloum estuary, Senegal. PANGAEA, https://doi.org/10.1594/PANGAEA.885775, 
	Supplement to: Döring, J et al. (2018): Seasonal growth differences of larval Hyporhamphus picarti (Hemiramphidae) in the Sine Saloum estuary, Senegal. Journal of Applied Ichthyology, 34(1), 97-102, https://doi.org/10.1111/jai.13528
Abstract:	The African halfbeak Hyporhamphus picarti (Hemiramphidae) is one of the most abundant species within the ichthyoplankton community of the Sine Saloum estuary (Senegal). A year-round occurrence of larvae suggests that the Sine Saloum is an important spawning habitat for this species. Annual fluctuations in water temperature, however, can have severe impacts on the survival probabilities of marine fish larvae. To determine whether temperature has an effect on the growth of H. picarti during its larval development, larval age at length and somatic growth rates were investigated for two contrasting spawning seasons in 2014: February (cold season, 20.8°C) and June (warm season, 26.4°C). 
	H. picarti larvae were sampled at two stations inside the Saloum River using two vertically connected neuston nets (30 × 15 cm, 500 µm mesh size). The nets were attached to a catamaran (Hobie Cat 15), which was towed by a motorboat at a speed of two to three knots. Fish larvae were fixed immediately after the haul with a 30% ethanol/sea water solution and stored in an electric cooling box. At the laboratory, fish larvae were successively transferred to 50% and 70% ethanol. Water temperatures (°C) and salinities (practical salinity scale) were determined at each station with a multiprobe (WTW 3430). 
	Larval standard lengths (SL ± 0.01 mm) were measured using a calibrated stereomicroscope micrometre (Stemi SV 11 and Stemi 2000-C, Zeiss). The sagittal otoliths were dissected and stored in immersion oil for several days. In order to assess the age of H. picarti larvae at a given length, otolith daily growth increments were counted (core to edge) along the otolith's largest diameter using a stereo microscope (Axioskop, Zeiss) at 200-500× magnification. Increments were counted three times by the same reader, and counter read once by an additional reader. If the results of the counts of both persons deviated by more than one increment, the respective otolith was discarded. Otolith diameter was measured using ImageJ 1.49 (Rasband, WS, US National Institutes of Health, Bethesda, MD, http://imagej.nih.gov/ij/).
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: http://www.zmt-bremen.de/en/zmt.html)
Coverage:	MEDIAN LATITUDE: 13.955632 * MEDIAN LONGITUDE: -16.710502 * SOUTH-BOUND LATITUDE: 13.939862 * WEST-BOUND LONGITUDE: -16.752759 * NORTH-BOUND LATITUDE: 13.987173 * EAST-BOUND LONGITUDE: -16.625987
	DATE/TIME START: 2014-01-01T00:00:00 * DATE/TIME END: 2014-01-01T00:00:00
	MINIMUM DEPTH, water: 8 m * MAXIMUM DEPTH, water: 12 m
Event(s):	Saloum_river_2014-02-S1 (S1) * LATITUDE: 13.939862 * LONGITUDE: -16.752759 * LOCATION: Africa, Senegal * DEVICE: Neuston net (NEU)
	Saloum_river_2014-02-S2 (S2) * LATITUDE: 13.987173 * LONGITUDE: -16.625987 * LOCATION: Africa, Senegal * DEVICE: Neuston net (NEU)
	Saloum_river_2014-06-S1 (S1) * LATITUDE: 13.939862 * LONGITUDE: -16.752759 * LOCATION: Africa, Senegal * DEVICE: Neuston net (NEU)
Parameter(s):	Event label (Event) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Longitude of event (Longitude) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Longitude of event (Longitude) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Station label (Station) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	DATE/TIME (Date/Time) * GEOCODE * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Month (Month) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Temperature, water [°C] (Temp) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Salinity (Sal) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Hyporhamphus picarti, larvae, length [mm] (H. picarti larv l) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Hyporhamphus picarti, otolith diameter [mm] (H. picarti otolith diam) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Hyporhamphus picarti, larvae, age [days] (H. picarti age) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	928 data points
*/
Event	Longitude	Longitude	Station	Date/Time	Month	Depth water [m]	Temp [°C]	Sal	H. picarti larv l [mm]	H. picarti otolith diam [mm]	H. picarti age [days]
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	16.3800	0.2460	19
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.8560	0.1740	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	15.2880	0.2100	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	14.5080	0.2220	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	14.1960	0.2130	19
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	15.4440	0.2190	21
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	3.8610	0.0705	2
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.0590	0.0780	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.2570	0.0795	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.4550	0.0720	4
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.6530	0.0810	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.6530	0.0690	4
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.7520	0.0810	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.8510	0.0735	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.8510	0.0825	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.1480	0.0900	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.1480	0.0780	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.4450	0.0780	4
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.4450	0.0945	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.4450	0.0900	3
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.6430	0.0900	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.7420	0.0900	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.3855	0.0960	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.5340	0.0930	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.5340	0.1035	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.7320	0.0930	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.7320	0.1020	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.9300	0.1140	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.9300	0.1110	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.9300	0.1095	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.4520	0.1080	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.5240	0.1095	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.5240	0.1200	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.6800	0.1185	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.8210	0.1110	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.3160	0.1110	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.5140	0.1260	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.6130	0.1170	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.9100	0.1230	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.0090	0.1185	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.1575	0.1260	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.4800	0.1260	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.6000	0.1260	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.7020	0.1260	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.7800	0.1470	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.8010	0.1380	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.9600	0.1500	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.2000	0.1560	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.3200	0.1485	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.3800	0.1360	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.5200	0.1440	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.9200	0.1500	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	11.1600	0.1560	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	11.1600	0.1650	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	11.5200	0.1650	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.3240	0.1830	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.6360	0.1890	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.7920	0.1800	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.9480	0.1680	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	13.1040	0.1710	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	13.7280	0.1950	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.3520	0.1860	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.5080	0.1920	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.6620	0.1920	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.6640	0.2100	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.8200	0.2430	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.8200	0.2100	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.6000	0.2130	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.7560	0.2010	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.7560	0.2580	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.9120	0.2205	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.9120	0.2130	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.9120	0.2250	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.0680	0.2340	17
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.2240	0.2430	16
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.3800	0.2520	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.5360	0.2520	16
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.5360	0.2130	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.3160	0.2295	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.3160	0.2295	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.4720	0.2460	17
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.4720	0.2550	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.7840	0.2550	19
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.9400	0.2940	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	18.2520	0.2550	17
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	21.6840	0.3545	22
